date,Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
2022-01-03,Furniture,SKU_001,293.65,Out of Stock,7,2055.55,Adult,111,10,60,1,Carrier Y,49.83,Supplier B,West,6,86,15,72.84,Pass,0.0349,Sea,Route 2,801.89
2022-01-03,Furniture,SKU_002,471.04,Out of Stock,15,7065.6,Senior,111,10,99,9,Carrier X,17.78,Supplier B,South,3,871,7,202.55,Pass,0.0176,Air,Route 2,392.86
2022-01-03,Furniture,SKU_003,374.42,Out of Stock,11,4118.62,Senior,118,7,30,6,Carrier Y,22.69,Supplier B,West,12,76,6,118.02,Pass,0.0577,Air,Route 1,307.17
2022-01-03,Furniture,SKU_004,307.4,Out of Stock,11,3381.4,Adult,45,6,6,3,Carrier X,47.89,Supplier A,North,6,656,7,294.49,Fail,0.0294,Air,Route 3,341.63
2022-01-03,Furniture,SKU_005,126.27,In Stock,9,1136.43,Senior,103,9,32,6,Carrier Z,11.3,Supplier C,South,3,834,12,215.16,Pass,0.0709,Sea,Route 1,366.86
2022-01-04,Clothing,SKU_001,414.55,In Stock,11,4560.05,Senior,56,5,45,4,Carrier X,8.19,Supplier B,West,13,932,11,27.73,Fail,0.0094,Sea,Route 3,132.35
2022-01-04,Electronics,SKU_002,119.77,Out of Stock,8,958.16,Adult,48,5,42,6,Carrier Z,21.21,Supplier A,North,9,102,16,80.43,Pass,0.0457,Road,Route 1,274.94
2022-01-04,Clothing,SKU_003,293.29,In Stock,6,1759.74,Adult,123,11,30,3,Carrier X,22.95,Supplier C,West,11,395,9,71.61,Fail,0.0836,Air,Route 1,152.37
2022-01-04,Clothing,SKU_004,120.4,Out of Stock,7,842.8,Youth,116,2,16,7,Carrier Z,24.61,Supplier A,East,4,125,14,119.67,Pass,0.012,Air,Route 2,182.62
2022-01-04,Furniture,SKU_005,68.33,Out of Stock,13,888.29,Adult,100,8,10,6,Carrier X,44.9,Supplier C,South,11,708,14,160.29,Fail,0.0659,Sea,Route 2,123.86
2022-01-05,Furniture,SKU_001,410.43,Out of Stock,9,3693.87,Youth,188,4,43,5,Carrier Z,41.92,Supplier B,East,13,334,17,80.08,Fail,0.0018,Sea,Route 2,714.71
2022-01-05,Electronics,SKU_002,345.08,In Stock,14,4831.12,Adult,114,10,7,4,Carrier Y,36.35,Supplier A,East,14,425,8,137.02,Pass,0.0282,Road,Route 1,775.55
2022-01-05,Furniture,SKU_003,495.73,Out of Stock,6,2974.38,Senior,189,6,12,1,Carrier Z,38.79,Supplier A,East,10,847,5,169.61,Fail,0.0826,Road,Route 1,905.97
2022-01-05,Electronics,SKU_004,74.07,In Stock,15,1111.05,Senior,27,5,83,5,Carrier X,18.19,Supplier A,West,12,518,8,284.93,Fail,0.079,Air,Route 1,544.98
2022-01-05,Furniture,SKU_005,498.17,Out of Stock,9,4483.53,Senior,74,3,76,9,Carrier Y,42.66,Supplier A,North,7,568,18,216.27,Fail,0.0397,Sea,Route 2,231.94
2022-01-06,Electronics,SKU_001,88.18,In Stock,14,1234.52,Senior,44,5,36,6,Carrier Z,26.68,Supplier B,East,12,763,14,112.47,Fail,0.0493,Air,Route 2,521.79
2022-01-06,Clothing,SKU_002,383.44,Out of Stock,12,4601.28,Adult,190,13,25,8,Carrier X,15.06,Supplier B,South,13,734,17,32.08,Pass,0.0043,Air,Route 3,927.2
2022-01-06,Furniture,SKU_003,362.94,In Stock,10,3629.4,Adult,142,2,54,6,Carrier Z,45.55,Supplier A,East,13,379,12,130.47,Fail,0.062,Road,Route 2,449.44
2022-01-06,Clothing,SKU_004,169.67,In Stock,12,2036.04,Youth,156,14,46,3,Carrier X,47.32,Supplier C,West,6,864,13,137.11,Fail,0.0877,Sea,Route 1,248.35
2022-01-06,Electronics,SKU_005,399.92,Out of Stock,11,4399.12,Adult,58,12,49,1,Carrier Y,6.66,Supplier C,North,6,872,10,213.68,Pass,0.1,Road,Route 3,599.89
2022-01-07,Electronics,SKU_001,376.75,Out of Stock,14,5274.5,Adult,109,2,51,4,Carrier Y,44.52,Supplier B,West,9,600,14,159.49,Fail,0.0772,Sea,Route 2,866.96
2022-01-07,Clothing,SKU_002,485.59,Out of Stock,14,6798.26,Senior,46,8,79,5,Carrier X,33.77,Supplier C,East,8,471,16,294.53,Fail,0.059,Road,Route 3,493.73
2022-01-07,Furniture,SKU_003,376.88,In Stock,10,3768.8,Adult,105,4,81,5,Carrier X,11.62,Supplier A,South,2,557,8,148.56,Fail,0.0621,Road,Route 1,288.22
2022-01-07,Furniture,SKU_004,158.07,In Stock,10,1580.7,Senior,117,9,4,8,Carrier X,45.36,Supplier C,East,14,721,6,188.54,Pass,0.0041,Air,Route 2,350.73
2022-01-07,Electronics,SKU_005,64.31,Out of Stock,6,385.86,Adult,45,3,49,9,Carrier Y,40.97,Supplier A,South,9,399,15,277.84,Pass,0.0003,Air,Route 1,637.55
2022-01-08,Furniture,SKU_001,291.47,Out of Stock,10,2914.7,Senior,77,9,2,8,Carrier Z,37.1,Supplier C,East,12,800,16,50.01,Fail,0.0354,Sea,Route 3,194.38
2022-01-08,Furniture,SKU_002,219.78,Out of Stock,5,1098.9,Youth,144,14,84,9,Carrier Y,40.51,Supplier A,South,5,160,10,184.32,Fail,0.0587,Sea,Route 2,355.4
2022-01-08,Clothing,SKU_003,454.84,Out of Stock,11,5003.24,Youth,197,6,33,5,Carrier Y,15.14,Supplier B,East,5,399,15,44.61,Fail,0.0173,Sea,Route 1,172.21
2022-01-08,Furniture,SKU_004,58.21,In Stock,7,407.47,Senior,61,10,66,8,Carrier Y,17.6,Supplier A,South,11,167,8,139.12,Pass,0.0736,Sea,Route 1,649.56
2022-01-08,Clothing,SKU_005,311.56,In Stock,16,4984.96,Senior,160,7,50,8,Carrier Y,29.69,Supplier B,West,3,62,12,246.76,Pass,0.0139,Air,Route 1,205.03
2022-01-09,Furniture,SKU_001,262.21,In Stock,13,3408.73,Youth,61,13,50,5,Carrier Z,47.23,Supplier C,East,2,345,10,33.47,Pass,0.014,Air,Route 1,281.46
2022-01-09,Clothing,SKU_002,421.31,In Stock,13,5477.03,Adult,61,5,89,9,Carrier Y,41.75,Supplier C,West,4,686,10,171.14,Pass,0.0503,Air,Route 1,909.62
2022-01-09,Furniture,SKU_003,289.34,In Stock,15,4340.1,Senior,197,7,67,7,Carrier Z,20.07,Supplier C,East,14,338,8,227.61,Pass,0.0789,Road,Route 1,380.55
2022-01-09,Electronics,SKU_004,400.36,In Stock,8,3202.88,Senior,46,5,88,4,Carrier Z,40.88,Supplier A,North,5,893,17,221.61,Pass,0.0598,Road,Route 3,639.13
2022-01-09,Furniture,SKU_005,481.58,Out of Stock,11,5297.38,Senior,89,12,12,8,Carrier Y,9.54,Supplier A,East,9,877,15,280.99,Fail,0.0919,Air,Route 1,736.51
2022-01-10,Clothing,SKU_001,397.06,In Stock,11,4367.66,Youth,39,10,86,7,Carrier X,10.1,Supplier A,South,5,231,11,277.84,Pass,0.0311,Sea,Route 3,459.1
2022-01-10,Electronics,SKU_002,384.91,Out of Stock,13,5003.83,Youth,34,5,25,6,Carrier Y,25.96,Supplier C,South,12,578,15,29.2,Pass,0.0141,Air,Route 3,248.96
2022-01-10,Electronics,SKU_003,461.68,In Stock,13,6001.84,Adult,155,3,85,1,Carrier Z,48.9,Supplier A,North,5,679,10,43.9,Pass,0.0184,Sea,Route 1,378.94
2022-01-10,Clothing,SKU_004,387.48,In Stock,13,5037.24,Adult,28,2,45,8,Carrier Z,7.96,Supplier B,East,3,243,10,143.41,Fail,0.0497,Sea,Route 3,192.68
2022-01-10,Electronics,SKU_005,83.98,In Stock,9,755.82,Adult,161,13,97,7,Carrier Z,12.03,Supplier B,East,14,57,5,174.48,Pass,0.0231,Sea,Route 3,117.74
2022-01-11,Clothing,SKU_001,202.67,In Stock,6,1216.02,Senior,7,3,35,8,Carrier Y,32.14,Supplier B,East,5,549,9,59.5,Fail,0.0293,Road,Route 3,669.92
2022-01-11,Electronics,SKU_002,143.55,In Stock,6,861.3,Youth,187,3,2,1,Carrier Z,33.11,Supplier C,South,3,756,11,29.58,Fail,0.0624,Road,Route 2,426.48
2022-01-11,Electronics,SKU_003,182.51,Out of Stock,5,912.55,Senior,127,2,81,9,Carrier Y,33.51,Supplier C,North,7,327,15,138.08,Fail,0.0526,Air,Route 2,345.08
2022-01-11,Furniture,SKU_004,420.16,Out of Stock,5,2100.8,Adult,33,2,37,9,Carrier Y,42.34,Supplier C,North,11,391,9,93.83,Pass,0.0874,Road,Route 1,698.53
2022-01-11,Furniture,SKU_005,307.98,In Stock,9,2771.82,Adult,45,3,54,1,Carrier Z,9.07,Supplier C,South,14,198,15,100.83,Fail,0.0916,Sea,Route 3,649.36
2022-01-12,Clothing,SKU_001,264.22,In Stock,17,4491.74,Youth,35,5,83,3,Carrier Z,43.09,Supplier C,North,12,531,13,235.86,Pass,0.0344,Air,Route 1,545.94
2022-01-12,Furniture,SKU_002,319.23,In Stock,13,4149.99,Adult,101,3,12,3,Carrier X,9.12,Supplier C,North,14,66,14,213.36,Pass,0.0185,Road,Route 3,759.0
2022-01-12,Electronics,SKU_003,391.57,In Stock,7,2740.99,Senior,58,11,26,7,Carrier X,13.13,Supplier A,South,11,440,18,53.75,Pass,0.0297,Road,Route 3,949.84
2022-01-12,Clothing,SKU_004,385.28,Out of Stock,14,5393.92,Adult,102,2,14,8,Carrier Z,30.23,Supplier A,South,4,854,15,115.16,Pass,0.0404,Sea,Route 3,823.58
2022-01-12,Electronics,SKU_005,347.74,In Stock,11,3825.14,Senior,169,3,30,7,Carrier X,28.8,Supplier C,East,8,863,8,34.75,Pass,0.0402,Air,Route 1,622.68
2022-01-13,Furniture,SKU_001,229.23,Out of Stock,9,2063.07,Youth,64,2,3,8,Carrier Y,43.38,Supplier B,South,6,714,5,274.89,Pass,0.0428,Air,Route 1,711.68
2022-01-13,Furniture,SKU_002,477.48,In Stock,7,3342.36,Senior,183,9,11,2,Carrier X,38.45,Supplier C,West,5,910,19,84.56,Pass,0.0513,Road,Route 3,258.88
2022-01-13,Clothing,SKU_003,66.53,Out of Stock,13,864.89,Youth,53,8,49,9,Carrier Z,31.88,Supplier A,North,12,539,7,232.31,Fail,0.0996,Sea,Route 3,302.0
2022-01-13,Electronics,SKU_004,291.64,In Stock,10,2916.4,Senior,28,10,67,9,Carrier Y,43.8,Supplier A,East,9,586,9,225.86,Fail,0.0408,Sea,Route 2,333.78
2022-01-13,Electronics,SKU_005,71.95,Out of Stock,5,359.75,Youth,27,6,77,1,Carrier Y,27.28,Supplier B,North,4,747,7,117.39,Fail,0.0544,Air,Route 1,760.52
2022-01-14,Furniture,SKU_001,440.67,Out of Stock,12,5288.04,Senior,154,7,60,7,Carrier X,44.64,Supplier B,North,4,80,11,21.44,Fail,0.0335,Road,Route 3,244.68
2022-01-14,Clothing,SKU_002,424.46,In Stock,7,2971.22,Youth,45,12,17,8,Carrier Z,21.95,Supplier A,East,7,516,18,25.16,Pass,0.0963,Sea,Route 3,938.83
2022-01-14,Electronics,SKU_003,404.96,Out of Stock,12,4859.52,Senior,191,2,12,6,Carrier X,31.2,Supplier A,South,11,169,15,258.68,Fail,0.0973,Air,Route 3,217.08
2022-01-14,Electronics,SKU_004,222.63,In Stock,10,2226.3,Adult,25,3,46,2,Carrier X,47.49,Supplier C,North,10,88,19,242.55,Pass,0.0298,Road,Route 3,712.45
2022-01-14,Clothing,SKU_005,109.1,In Stock,17,1854.7,Youth,20,6,59,4,Carrier Y,39.2,Supplier A,East,12,306,14,270.35,Pass,0.0746,Sea,Route 1,686.5
2022-01-15,Clothing,SKU_001,438.96,Out of Stock,10,4389.6,Youth,144,14,53,8,Carrier Z,25.42,Supplier B,West,8,436,17,56.75,Pass,0.0912,Road,Route 3,266.91
2022-01-15,Furniture,SKU_002,266.69,Out of Stock,11,2933.59,Youth,165,10,60,6,Carrier Y,19.67,Supplier B,West,9,444,17,61.88,Pass,0.0072,Road,Route 2,977.23
2022-01-15,Clothing,SKU_003,181.25,In Stock,15,2718.75,Senior,87,10,17,9,Carrier Y,11.41,Supplier B,South,13,709,5,176.7,Fail,0.0941,Air,Route 2,580.82
2022-01-15,Electronics,SKU_004,207.78,In Stock,13,2701.14,Senior,193,7,90,2,Carrier Z,14.01,Supplier C,West,2,921,15,54.78,Pass,0.0032,Road,Route 1,146.77
2022-01-15,Electronics,SKU_005,369.08,Out of Stock,17,6274.36,Adult,110,12,7,4,Carrier Y,41.78,Supplier B,East,4,176,13,65.92,Fail,0.0082,Road,Route 3,685.26
2022-01-16,Electronics,SKU_001,442.3,Out of Stock,8,3538.4,Youth,135,14,53,7,Carrier Z,12.28,Supplier B,South,4,711,9,298.97,Pass,0.0493,Road,Route 3,712.21
2022-01-16,Electronics,SKU_002,238.28,In Stock,7,1667.96,Adult,158,11,61,8,Carrier X,20.57,Supplier B,West,13,201,6,262.77,Fail,0.0588,Road,Route 1,455.96
2022-01-16,Clothing,SKU_003,318.98,Out of Stock,9,2870.82,Senior,185,7,12,3,Carrier X,25.96,Supplier A,East,2,916,14,220.43,Fail,0.0602,Road,Route 2,974.26
2022-01-16,Furniture,SKU_004,235.86,Out of Stock,10,2358.6,Youth,110,9,89,4,Carrier Y,9.29,Supplier A,East,10,77,6,260.24,Pass,0.0325,Air,Route 3,508.41
2022-01-16,Furniture,SKU_005,447.67,Out of Stock,6,2686.02,Adult,75,10,1,5,Carrier Z,47.69,Supplier A,West,7,333,13,189.55,Pass,0.0664,Air,Route 1,859.75
2022-01-17,Furniture,SKU_001,440.72,Out of Stock,10,4407.2,Adult,129,10,37,4,Carrier Y,6.77,Supplier C,East,7,534,9,44.8,Pass,0.0507,Road,Route 2,457.64
2022-01-17,Clothing,SKU_002,484.3,In Stock,7,3390.1,Senior,171,7,84,7,Carrier Y,18.86,Supplier B,South,13,424,12,291.58,Pass,0.0731,Air,Route 2,881.33
2022-01-17,Clothing,SKU_003,164.89,In Stock,12,1978.68,Youth,25,9,47,8,Carrier X,6.37,Supplier A,South,5,850,5,80.39,Fail,0.0827,Air,Route 1,195.93
2022-01-17,Clothing,SKU_004,499.74,Out of Stock,8,3997.92,Youth,175,14,73,5,Carrier X,17.99,Supplier C,West,3,430,10,111.57,Fail,0.0438,Road,Route 2,890.1
2022-01-17,Furniture,SKU_005,246.01,In Stock,9,2214.09,Senior,88,6,15,1,Carrier Y,22.83,Supplier A,East,13,654,13,187.02,Fail,0.0373,Road,Route 2,628.36
2022-01-18,Clothing,SKU_001,339.16,Out of Stock,10,3391.6,Adult,71,3,70,5,Carrier X,20.36,Supplier A,South,6,349,8,190.21,Fail,0.0549,Road,Route 2,743.94
2022-01-18,Furniture,SKU_002,58.2,In Stock,9,523.8,Youth,123,10,36,3,Carrier Z,13.87,Supplier A,South,4,851,18,156.04,Fail,0.0523,Road,Route 3,936.65
2022-01-18,Furniture,SKU_003,311.42,Out of Stock,11,3425.62,Youth,76,5,90,9,Carrier Y,13.15,Supplier C,West,11,88,17,71.68,Pass,0.0107,Road,Route 1,330.91
2022-01-18,Clothing,SKU_004,412.7,In Stock,9,3714.3,Senior,122,14,22,6,Carrier X,44.79,Supplier A,South,10,832,14,68.94,Pass,0.084,Air,Route 2,330.08
2022-01-18,Clothing,SKU_005,379.38,Out of Stock,9,3414.42,Adult,146,5,74,1,Carrier Z,31.4,Supplier C,North,4,157,6,152.41,Pass,0.0096,Air,Route 3,307.22
2022-01-19,Furniture,SKU_001,296.01,Out of Stock,7,2072.07,Youth,152,3,64,3,Carrier Z,36.28,Supplier C,South,7,686,11,222.86,Pass,0.0991,Road,Route 3,642.9
2022-01-19,Clothing,SKU_002,310.27,In Stock,13,4033.51,Youth,96,5,3,9,Carrier X,15.2,Supplier A,East,5,830,5,252.92,Fail,0.08,Sea,Route 1,344.03
2022-01-19,Clothing,SKU_003,356.06,Out of Stock,8,2848.48,Adult,129,8,44,2,Carrier Y,30.1,Supplier B,East,5,313,10,177.44,Fail,0.0962,Air,Route 3,779.35
2022-01-19,Furniture,SKU_004,291.12,Out of Stock,9,2620.08,Youth,143,13,8,4,Carrier Z,46.72,Supplier A,East,13,676,12,25.61,Fail,0.0927,Air,Route 1,704.4
2022-01-19,Clothing,SKU_005,165.67,Out of Stock,13,2153.71,Adult,141,5,97,7,Carrier Y,20.38,Supplier A,North,3,810,13,162.72,Pass,0.0397,Sea,Route 2,640.53
2022-01-20,Furniture,SKU_001,122.79,Out of Stock,14,1719.06,Senior,48,11,38,2,Carrier X,22.13,Supplier B,South,7,116,11,105.31,Pass,0.0323,Sea,Route 2,238.41
2022-01-20,Furniture,SKU_002,205.74,Out of Stock,11,2263.14,Youth,163,2,80,6,Carrier Y,12.87,Supplier C,East,10,951,13,206.57,Fail,0.0068,Road,Route 1,309.3
2022-01-20,Electronics,SKU_003,297.29,Out of Stock,6,1783.74,Senior,77,5,18,6,Carrier X,5.8,Supplier B,West,8,516,19,37.18,Pass,0.0192,Air,Route 2,536.14
2022-01-20,Clothing,SKU_004,76.0,Out of Stock,8,608.0,Youth,98,6,73,3,Carrier Z,36.15,Supplier A,West,5,664,12,247.91,Pass,0.0221,Air,Route 2,483.48
2022-01-20,Furniture,SKU_005,406.44,In Stock,9,3657.96,Senior,154,13,86,7,Carrier X,22.42,Supplier A,South,8,435,18,154.78,Fail,0.079,Air,Route 2,712.88
2022-01-21,Furniture,SKU_001,328.53,In Stock,18,5913.54,Senior,187,12,63,5,Carrier Z,11.72,Supplier B,West,3,613,16,202.48,Pass,0.0376,Air,Route 2,453.15
2022-01-21,Clothing,SKU_002,451.44,In Stock,5,2257.2,Youth,128,3,60,1,Carrier Y,46.86,Supplier A,West,12,808,6,128.18,Fail,0.0637,Sea,Route 1,159.99
2022-01-21,Electronics,SKU_003,117.58,Out of Stock,3,352.74,Senior,42,2,51,8,Carrier Z,5.54,Supplier A,West,6,281,14,149.35,Fail,0.035,Sea,Route 3,695.23
2022-01-21,Furniture,SKU_004,128.35,In Stock,10,1283.5,Adult,37,13,81,8,Carrier X,48.92,Supplier C,South,4,610,8,192.2,Fail,0.0069,Air,Route 2,530.43
2022-01-21,Furniture,SKU_005,485.82,In Stock,6,2914.92,Adult,117,14,53,2,Carrier Z,6.97,Supplier A,West,3,232,13,124.21,Pass,0.055,Road,Route 1,247.32
2022-01-22,Clothing,SKU_001,467.74,Out of Stock,7,3274.18,Youth,121,8,39,1,Carrier X,29.48,Supplier A,North,6,687,12,229.49,Fail,0.0776,Sea,Route 2,777.87
2022-01-22,Electronics,SKU_002,471.82,In Stock,12,5661.84,Youth,179,12,50,3,Carrier Z,42.83,Supplier A,South,12,470,17,228.16,Pass,0.0298,Sea,Route 3,720.0
2022-01-22,Furniture,SKU_003,309.73,In Stock,13,4026.49,Adult,185,9,1,5,Carrier Z,49.63,Supplier C,West,11,915,15,107.06,Pass,0.0733,Sea,Route 3,269.22
2022-01-22,Electronics,SKU_004,218.87,In Stock,10,2188.7,Adult,57,7,12,1,Carrier Y,14.11,Supplier B,North,10,69,15,231.75,Pass,0.0306,Sea,Route 1,212.24
2022-01-22,Furniture,SKU_005,251.87,Out of Stock,13,3274.31,Adult,36,7,85,6,Carrier Z,5.14,Supplier B,South,5,237,13,128.55,Pass,0.0588,Air,Route 2,751.06
2022-01-23,Electronics,SKU_001,310.99,In Stock,12,3731.88,Adult,157,3,19,3,Carrier X,33.64,Supplier C,South,9,158,16,239.77,Fail,0.021,Sea,Route 1,232.71
2022-01-23,Furniture,SKU_002,380.98,In Stock,5,1904.9,Senior,46,12,57,6,Carrier X,12.81,Supplier B,West,5,801,19,53.13,Fail,0.0991,Sea,Route 3,614.69
2022-01-23,Electronics,SKU_003,133.01,In Stock,12,1596.12,Adult,197,2,51,5,Carrier Z,16.67,Supplier B,South,4,630,17,149.29,Fail,0.0803,Road,Route 1,735.42
2022-01-23,Clothing,SKU_004,86.27,In Stock,13,1121.51,Youth,181,13,60,9,Carrier Z,46.52,Supplier A,West,6,975,12,35.98,Fail,0.0036,Sea,Route 3,348.05
2022-01-23,Clothing,SKU_005,162.3,Out of Stock,9,1460.7,Youth,69,13,73,4,Carrier Z,7.82,Supplier B,East,10,582,8,108.25,Pass,0.0347,Sea,Route 3,119.64
2022-01-24,Furniture,SKU_001,483.53,In Stock,14,6769.42,Adult,119,10,37,5,Carrier Y,11.52,Supplier C,South,6,354,7,106.44,Pass,0.0609,Air,Route 1,202.69
2022-01-24,Clothing,SKU_002,374.0,In Stock,11,4114.0,Youth,60,3,28,9,Carrier Z,36.85,Supplier A,South,7,543,10,257.14,Fail,0.0166,Road,Route 2,864.98
2022-01-24,Clothing,SKU_003,93.9,Out of Stock,9,845.1,Adult,75,9,40,6,Carrier Z,25.67,Supplier C,East,2,81,11,264.2,Fail,0.033,Road,Route 2,116.15
2022-01-24,Electronics,SKU_004,346.83,Out of Stock,14,4855.62,Youth,167,11,28,1,Carrier Z,29.86,Supplier B,East,9,93,5,129.4,Pass,0.0105,Sea,Route 1,457.64
2022-01-24,Furniture,SKU_005,399.03,In Stock,7,2793.21,Youth,163,6,85,8,Carrier Z,33.92,Supplier C,West,9,259,14,145.33,Fail,0.0793,Sea,Route 3,426.79
2022-01-25,Furniture,SKU_001,174.61,Out of Stock,10,1746.1,Senior,7,6,32,5,Carrier Y,32.69,Supplier B,East,10,573,15,161.46,Fail,0.0988,Air,Route 3,210.19
2022-01-25,Clothing,SKU_002,335.6,Out of Stock,11,3691.6,Youth,24,4,97,4,Carrier X,42.03,Supplier B,South,6,276,17,114.32,Pass,0.0819,Road,Route 2,739.22
2022-01-25,Electronics,SKU_003,262.03,In Stock,11,2882.33,Adult,130,13,92,5,Carrier Y,9.53,Supplier A,East,5,595,13,227.11,Fail,0.0749,Air,Route 3,658.84
2022-01-25,Clothing,SKU_004,382.13,Out of Stock,11,4203.43,Adult,65,4,40,8,Carrier Z,12.87,Supplier A,West,13,50,12,40.35,Fail,0.0643,Road,Route 1,293.98
2022-01-25,Furniture,SKU_005,145.69,In Stock,13,1893.97,Adult,144,8,9,3,Carrier X,45.45,Supplier C,North,7,300,15,176.92,Pass,0.039,Road,Route 2,304.06
2022-01-26,Electronics,SKU_001,295.99,In Stock,9,2663.91,Senior,83,2,25,8,Carrier Y,46.31,Supplier C,South,10,132,18,275.02,Fail,0.0699,Air,Route 3,659.21
2022-01-26,Electronics,SKU_002,187.14,In Stock,10,1871.4,Adult,119,7,53,4,Carrier X,15.89,Supplier A,West,5,138,18,187.54,Pass,0.0226,Road,Route 2,638.93
2022-01-26,Furniture,SKU_003,456.3,Out of Stock,14,6388.2,Adult,168,9,55,1,Carrier Y,24.31,Supplier C,West,3,518,19,204.47,Fail,0.0831,Sea,Route 1,763.81
2022-01-26,Electronics,SKU_004,459.33,Out of Stock,14,6430.62,Youth,7,14,87,8,Carrier Y,24.56,Supplier C,East,10,708,14,66.15,Fail,0.0607,Sea,Route 2,632.53
2022-01-26,Electronics,SKU_005,337.82,In Stock,10,3378.2,Adult,75,14,67,6,Carrier Y,17.22,Supplier C,East,10,818,12,197.55,Fail,0.0891,Road,Route 1,135.79
2022-01-27,Clothing,SKU_001,70.54,Out of Stock,7,493.78,Youth,92,14,99,8,Carrier Y,32.49,Supplier A,West,9,738,17,170.36,Pass,0.0008,Road,Route 3,859.53
2022-01-27,Electronics,SKU_002,202.49,In Stock,9,1822.41,Adult,106,7,9,8,Carrier X,17.81,Supplier A,West,6,868,15,162.08,Pass,0.003,Sea,Route 2,993.54
2022-01-27,Electronics,SKU_003,468.24,In Stock,9,4214.16,Youth,108,13,61,1,Carrier X,37.33,Supplier B,North,9,202,15,20.59,Fail,0.0258,Sea,Route 1,643.42
2022-01-27,Clothing,SKU_004,165.51,Out of Stock,9,1489.59,Adult,146,13,40,4,Carrier X,8.2,Supplier B,East,10,984,6,207.2,Pass,0.0646,Sea,Route 3,638.82
2022-01-27,Clothing,SKU_005,336.24,Out of Stock,5,1681.2,Senior,83,7,27,5,Carrier Y,28.85,Supplier C,West,9,307,5,214.57,Fail,0.0295,Air,Route 3,619.48
2022-01-28,Clothing,SKU_001,459.56,Out of Stock,10,4595.6,Senior,151,10,38,5,Carrier Y,43.33,Supplier C,North,8,122,9,261.29,Fail,0.0446,Road,Route 3,505.11
2022-01-28,Furniture,SKU_002,391.71,In Stock,8,3133.68,Adult,56,7,33,8,Carrier Z,28.03,Supplier A,East,5,470,12,233.33,Pass,0.0154,Air,Route 2,681.24
2022-01-28,Furniture,SKU_003,203.27,In Stock,13,2642.51,Youth,37,6,8,2,Carrier Y,25.43,Supplier A,North,3,886,18,27.71,Pass,0.0532,Air,Route 2,135.1
2022-01-28,Clothing,SKU_004,466.54,In Stock,6,2799.24,Senior,124,6,30,5,Carrier Y,10.23,Supplier B,West,6,84,11,144.36,Fail,0.0827,Air,Route 1,359.56
2022-01-28,Furniture,SKU_005,118.21,In Stock,9,1063.89,Youth,164,10,49,2,Carrier X,39.29,Supplier C,East,4,948,14,251.51,Pass,0.0195,Air,Route 1,408.2
2022-01-29,Electronics,SKU_001,484.89,In Stock,10,4848.9,Senior,23,14,99,2,Carrier Z,14.33,Supplier A,North,4,813,6,194.55,Pass,0.0793,Sea,Route 1,757.74
